"","X","cod","Escola","Turma","Serie","Nivel","Sexo","Idade","Cor.Raca","Zona","Necessidade.Deficiencia","id","Stari.Grupo","WG.Grupo","vocab.pre","vocab.pos","score.tde.pre","score.tde.pos","TFL.lidas.per.min.pre","TFL.erradas.per.min.pre","TFL.omitidas.per.min.pre","TFL.corretas.per.min.pre","TFL.lidas.pre","TFL.erradas.pre","TFL.omitidas.pre","TFL.corretas.pre","leitura.compreensao.pre","TFL.lidas.per.min.pos","TFL.erradas.per.min.pos","TFL.omitidas.per.min.pos","TFL.corretas.per.min.pos","TFL.lidas.pos","TFL.erradas.pos","TFL.omitidas.pos","TFL.corretas.pos","leitura.compreensao.pos","dfs.media.read","fss.media.read","dfs.media.math","fss.media.math","dfs.media.text","fss.media.text","dfs.media.debat","fss.media.debat","gain.vocab","gain.score.tde","gain.TFL.lidas.per.min","gain.TFL.corretas.per.min","gain.TFL.lidas","gain.TFL.corretas","gain.leitura.compreensao","gain.flow.read","gain.flow.math","gain.flow.text","gain.flow.debat","vocab.quintile","score.tde.quintile","TFL.lidas.per.min.quintile","TFL.erradas.per.min.quintile","TFL.omitidas.per.min.quintile","TFL.corretas.per.min.quintile","TFL.lidas.quintile","TFL.erradas.quintile","TFL.omitidas.quintile","TFL.corretas.quintile","leitura.compreensao.quintile"
"c891d123bae57e8c6e5135480ca222ad",113,"c891d123bae57e8c6e5135480ca222ad","EMEB PROFESSORA MARIA QUEIROZ FERRO","7 ANO F","7 ano","anos finais","F",12,"Parda","Rural",NA,"P3094","Controle",NA,19,22,25,11,47,5,NA,42,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3.11111111111111,2.55555555555555,2.44444444444445,2.66666666666667,3,3.11111111111111,2.77777777777778,3,-14,NA,NA,NA,NA,-5,0.111111111111111,-0.111111111111111,0.333333333333333,-0.333333333333333,"2nd quintile","2nd quintile","1st quintile","5th quintile",NA,"1st quintile",NA,NA,NA,NA,"3rd quintile"
"c8960d88b38e1469f595f8799b3a7771",114,"c8960d88b38e1469f595f8799b3a7771","EMEF PADRE JOSE DOS SANTOS MOUSINHO","8 A","8 ano","anos finais","M",16,"Branca","Rural",NA,"P3598","Experimental",NA,28,35,37,44,95,3,0,92,452,9,0,443,5,110,2,0,108,452,5,0,447,8,3.77777777777778,3.33333333333333,3.44444444444445,2.66666666666667,3.44444444444445,3.22222222222222,3.44444444444445,2.11111111111111,7,7,15,16,0,4,3,-0.444444444444444,-0.777777777777778,-0.222222222222222,-1.33333333333333,"3rd quintile","3rd quintile","3rd quintile","4th quintile","3rd quintile","3rd quintile","3rd quintile","4th quintile","3rd quintile","2nd quintile","3rd quintile"
"cb4cbd007818e47eeafdb6819e335647",115,"cb4cbd007818e47eeafdb6819e335647","EMEB NATANAEL DA SILVA","6 ANO A","6 ano","anos finais","F",11,"Parda","Rural",NA,"P446","Controle",NA,26,26,25,19,95,1,0,94,452,2,0,450,5,88,1,0,87,452,5,1,446,7,4.44444444444444,4.33333333333333,4.44444444444444,4.33333333333333,4.44444444444444,4.33333333333333,4.44444444444444,4.33333333333333,0,-6,-7,-7,0,-4,2,-0.111111111111112,-0.111111111111112,-0.111111111111112,-0.111111111111112,"3rd quintile","2nd quintile","3rd quintile","3rd quintile","3rd quintile","3rd quintile","3rd quintile","2nd quintile","3rd quintile","4th quintile","3rd quintile"
"ce6d475c0dfa95f91eded4e46ce0d227",116,"ce6d475c0dfa95f91eded4e46ce0d227","EMEB PADRE ANCHIETA","8 ANO A","8 ano","anos finais","F",13,"Parda",NA,NA,"P994","Controle",NA,19,21,31,10,84,3,0,81,450,5,2,445,5,95,0,0,95,452,3,0,458,3,3,3.55555555555555,3.22222222222222,4,3.11111111111111,3.77777777777778,3.44444444444445,3.77777777777778,2,-21,11,14,2,13,-2,0.555555555555555,0.777777777777778,0.666666666666667,0.333333333333333,"2nd quintile","2nd quintile","2nd quintile","4th quintile","3rd quintile","2nd quintile","1st quintile","3rd quintile","4th quintile","2nd quintile","3rd quintile"
"ce6e64b60b324bd77c0208baab94cd20",117,"ce6e64b60b324bd77c0208baab94cd20","EMEB PROFESSORA MARIA QUEIROZ FERRO","8 ANO B","8 ano","anos finais","M",14,NA,"Rural",NA,"P3181","Controle",NA,19,28,24,17,129,2,NA,127,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,4,NA,4,NA,4,NA,9,-7,NA,NA,NA,NA,-3,NA,NA,NA,NA,"2nd quintile","2nd quintile","5th quintile","3rd quintile",NA,"5th quintile",NA,NA,NA,NA,"2nd quintile"
"cef032555ae00b0f132a38783f72b151",118,"cef032555ae00b0f132a38783f72b151","EMEB PROFESSORA MARIA QUEIROZ FERRO","7 ANO D","7 ano","anos finais","F",13,NA,NA,NA,"P3055","Controle",NA,18,25,39,28,78,2,NA,76,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3.22222222222222,2.88888888888889,3.33333333333333,2.88888888888889,2.77777777777778,2.55555555555555,3.22222222222222,2.44444444444445,7,-11,NA,NA,NA,NA,-2,-0.333333333333333,-0.444444444444445,-0.222222222222222,-0.777777777777778,"2nd quintile","3rd quintile","2nd quintile","3rd quintile",NA,"2nd quintile",NA,NA,NA,NA,"1st quintile"
"cef33cee2f44f989588861196119da82",119,"cef33cee2f44f989588861196119da82","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","8 ANO E","8 ano","anos finais","M",13,NA,NA,NA,"P2244","Controle",NA,19,14,33,41,86,1,NA,85,NA,NA,NA,NA,8,130,NA,NA,130,452,NA,NA,452,5,3.33333333333333,2.5,3.66666666666667,2.77777777777778,3.5,2.33333333333333,3,2.22222222222222,-5,8,44,45,NA,NA,-3,-0.833333333333333,-0.888888888888889,-1.16666666666667,-0.777777777777778,"2nd quintile","3rd quintile","2nd quintile","3rd quintile",NA,"3rd quintile",NA,NA,NA,NA,"5th quintile"
"d01de7ab70863f6af0ba46d8ff4b8ce1",120,"d01de7ab70863f6af0ba46d8ff4b8ce1","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","6 ANO E","6 ano","anos finais","F",11,"Branca","Rural",NA,"P1764","Controle",NA,19,14,26,36,102,1,NA,101,NA,NA,NA,NA,3,135,NA,NA,135,452,NA,NA,452,5,2.33333333333333,3.55555555555555,2.88888888888889,3.22222222222222,2.33333333333333,2.55555555555555,2.33333333333333,2.22222222222222,-5,10,33,34,NA,NA,2,1.22222222222222,0.333333333333333,0.222222222222222,-0.111111111111111,"2nd quintile","2nd quintile","4th quintile","3rd quintile",NA,"4th quintile",NA,NA,NA,NA,"2nd quintile"
"d2d78e351774f53ce01234b4c5dbc10d",121,"d2d78e351774f53ce01234b4c5dbc10d","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","8 ANO E","8 ano","anos finais","M",14,NA,NA,NA,"P2247","Experimental",NA,23,21,39,37,117,1,NA,116,NA,NA,NA,NA,4,166,NA,NA,166,452,NA,NA,452,5,3.33333333333333,3,3.55555555555555,2.77777777777778,3.44444444444445,2.75,3.11111111111111,2,-2,-2,49,50,NA,NA,1,-0.333333333333333,-0.777777777777778,-0.694444444444445,-1.11111111111111,"3rd quintile","3rd quintile","5th quintile","3rd quintile",NA,"5th quintile",NA,NA,NA,NA,"3rd quintile"
"d31a68f0d45ca8610e05a477cf798603",122,"d31a68f0d45ca8610e05a477cf798603","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","9 ANO C","9 ano","anos finais","M",16,NA,NA,NA,"P2377","Controle",NA,22,25,25,24,76,NA,NA,76,NA,NA,NA,NA,7,134,NA,NA,134,452,NA,NA,452,5,3.44444444444445,4,3.55555555555555,4,3.77777777777778,4,3.44444444444445,4,3,-1,58,58,NA,NA,-2,0.555555555555555,0.444444444444445,0.222222222222222,0.555555555555555,"2nd quintile","2nd quintile","2nd quintile",NA,NA,"2nd quintile",NA,NA,NA,NA,"5th quintile"
